Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/07  16:00:00,,,,,,,,,19870270.711301655,0.0,7375246.266662633 
 01/07  17:00:00,,,,,,,,,24186882.16190106,0.0,5700947.541796856 
 01/07  18:00:00,,,,,,,,,25256660.81137129,0.0,9800760.047411796 
 01/07  19:00:00,,,,,,,,,25253255.649977416,0.0,7843453.337474278 
 01/07  20:00:00,,,,,,,,,3064339.8733904697,0.0,7843569.67288184 
 01/07  21:00:00,,,,,,,,,6203173.989877904,0.0,7843524.920512436 
 01/07  22:00:00,,,,,,,,,7002789.209592299,0.0,7768096.71975611 
 01/07  23:00:00,,,,,,,,,7765476.712799918,0.0,7767229.748039219 
 01/07  24:00:00,-5.505729166666664,-6.389583333333333,-5.813797856992925,18.200520833333332,80.8359375,171.29259514926343,-19.800915512093123,51055799.96945763,8432534.91371663,0.0,7767575.951539628 
 01/08  01:00:00,,,,,,,,,9047715.690145636,0.0,7220941.761130347 
 01/08  02:00:00,,,,,,,,,9531920.195438314,0.0,4566240.878071144 
 01/08  03:00:00,,,,,,,,,9941606.212041436,0.0,4566240.878071144 
 01/08  04:00:00,,,,,,,,,10471340.438372329,0.0,7220413.554385006 
 01/08  05:00:00,,,,,,,,,10852083.95855572,0.0,4566240.878071144 
 01/08  06:00:00,,,,,,,,,11112509.04101415,0.0,4566240.878071144 
 01/08  07:00:00,,,,,,,,,11368922.655677103,0.0,7768042.210320637 
 01/08  08:00:00,,,,,,,,,37152254.228049085,0.0,7767405.909323421 
 01/08  09:00:00,,,,,,,,,33263019.23390773,0.0,11839728.303116621 
 01/08  10:00:00,,,,,,,,,30118187.54705193,0.0,8203327.030751824 
 01/08  11:00:00,,,,,,,,,27935460.031170785,0.0,7375126.21131045 
 01/08  12:00:00,,,,,,,,,26319168.900943913,0.0,4566240.878071144 
 01/08  13:00:00,,,,,,,,,25283640.380930375,0.0,7375163.940848957 
 01/08  14:00:00,,,,,,,,,24859447.87722544,0.0,4566240.878071144 
 01/08  15:00:00,,,,,,,,,24371261.100935914,0.0,7375252.284072468 
 01/08  16:00:00,,,,,,,,,24092064.28230296,0.0,6949572.727486594 
 01/08  17:00:00,,,,,,,,,23973429.320847154,0.0,4992059.43647612 
 01/08  18:00:00,,,,,,,,,23547252.2098134,0.0,7844377.276875046 
 01/08  19:00:00,,,,,,,,,23009732.736833088,0.0,8261349.930531234 
 01/08  20:00:00,,,,,,,,,1499138.6787911416,0.0,10180980.390169438 
 01/08  21:00:00,,,,,,,,,3792832.7249550647,0.0,8365567.36205483 
 01/08  22:00:00,,,,,,,,,4097576.984224075,0.0,7767335.9557170365 
 01/08  23:00:00,,,,,,,,,4563990.890840119,0.0,7768007.387783267 
 01/08  24:00:00,0.33385416666666695,-0.19583404686953979,0.1188314416176298,6.432291666666667,0.3151041666666667,171.19300465716188,-19.69085628613162,53864721.49062257,5107924.951497197,0.0,7767374.67806348 
 01/09  01:00:00,,,,,,,,,5556844.006129094,0.0,4566240.878071144 
 01/09  02:00:00,,,,,,,,,6397491.447206297,0.0,7220681.097125318 
 01/09  03:00:00,,,,,,,,,7361018.875725361,0.0,4566240.878071144 
 01/09  04:00:00,,,,,,,,,7801136.150726847,0.0,4566240.878071144 
 01/09  05:00:00,,,,,,,,,7709946.765113421,0.0,4566240.878071144 
 01/09  06:00:00,,,,,,,,,7300245.164820827,0.0,7220583.294263242 
 01/09  07:00:00,,,,,,,,,7151801.15383219,0.0,7767242.460621775 
 01/09  08:00:00,,,,,,,,,31449283.130651828,0.0,7767947.914495203 
 01/09  09:00:00,,,,,,,,,28476706.92290453,0.0,8202764.823345438 
 01/09  10:00:00,,,,,,,,,24818913.978195697,0.0,11840287.876140326 
 01/09  11:00:00,,,,,,,,,21633605.67020914,0.0,4566240.878071144 
 01/09  12:00:00,,,,,,,,,19265767.295374103,0.0,7375174.329869269 
 01/09  13:00:00,,,,,,,,,17972377.856868763,0.0,4566240.878071144 
 01/09  14:00:00,,,,,,,,,17359970.852422167,0.0,7375128.758403458 
 01/09  15:00:00,,,,,,,,,17971616.327057682,0.0,6204586.251681265 
 01/09  16:00:00,,,,,,,,,18969386.866286814,0.0,5736788.364364618 
 01/09  17:00:00,,,,,,,,,19526303.23826909,0.0,7375189.303165827 
 01/09  18:00:00,,,,,,,,,20607696.229258217,0.0,7843806.113141396 
 01/09  19:00:00,,,,,,,,,24019831.416515555,0.0,7843654.541383128 
 01/09  20:00:00,,,,,,,,,462734.34536856273,0.0,7843285.557677284 
 01/09  21:00:00,,,,,,,,,1962962.3810149594,0.0,7843492.429070197 
 01/09  22:00:00,,,,,,,,,2208742.6321205096,0.0,8625498.854241148 
 01/09  23:00:00,,,,,,,,,2434044.792438808,0.0,9173602.094789268 
 01/09  24:00:00,4.736458333333332,4.126040580561692,4.590807866781274,18.317708333333332,18.375,171.0951546233548,-19.574463356569648,53795459.3887065,2728582.004590048,0.0,8705354.39562077 
 01/10  01:00:00,,,,,,,,,3609867.230351299,0.0,4566240.878071144 
 01/10  02:00:00,,,,,,,,,3874373.4200946814,0.0,4566240.878071144 
 01/10  03:00:00,,,,,,,,,5101825.341202848,0.0,4566240.878071144 
 01/10  04:00:00,,,,,,,,,6003704.4380820505,0.0,7220797.7894605175 
 01/10  05:00:00,,,,,,,,,6395863.366312918,0.0,4566240.878071144 
 01/10  06:00:00,,,,,,,,,6670598.459003712,0.0,4566240.878071144 
 01/10  07:00:00,,,,,,,,,6939245.18227127,0.0,7767481.218530929 
 01/10  08:00:00,,,,,,,,,30467692.189106543,0.0,7767043.936579285 
 01/10  09:00:00,,,,,,,,,28369757.22661138,0.0,11840254.434172593 
 01/10  10:00:00,,,,,,,,,25488238.108928632,0.0,8202706.433072243 
 01/10  11:00:00,,,,,,,,,22379270.942198448,0.0,7375778.068789998 
 01/10  12:00:00,,,,,,,,,19979470.05178518,0.0,4566240.878071144 
 01/10  13:00:00,,,,,,,,,18707244.08713755,0.0,7375801.760884283 
 01/10  14:00:00,,,,,,,,,17464119.92957448,0.0,4664075.622565179 
 01/10  15:00:00,,,,,,,,,17536370.030515682,0.0,7277893.268953092 
 01/10  16:00:00,,,,,,,,,19029879.936760128,0.0,7375506.436874469 
 01/10  17:00:00,,,,,,,,,19961857.65481901,0.0,4566240.878071144 
 01/10  18:00:00,,,,,,,,,20579024.084348343,0.0,7843664.6693249345 
 01/10  19:00:00,,,,,,,,,20660428.46117279,0.0,9206418.50058994 
 01/10  20:00:00,,,,,,,,,811146.7006807744,0.0,9758323.835721655 
 01/10  21:00:00,,,,,,,,,3182193.960634945,0.0,7843454.754165441 
 01/10  22:00:00,,,,,,,,,3957464.9385140454,0.0,7767931.715739811 
 01/10  23:00:00,,,,,,,,,4383109.712575717,0.0,7767593.366776128 
 01/10  24:00:00,4.616666666666666,2.0005208333333333,3.6733112254525153,18.4375,35.565104166666664,171.00130137365522,-19.451784315637955,51476270.83836045,4488084.651816196,0.0,7767225.602076109 
 01/11  01:00:00,,,,,,,,,4614726.422315555,0.0,4566240.878071144 
 01/11  02:00:00,,,,,,,,,5067509.876629723,0.0,7220374.696211519 
 01/11  03:00:00,,,,,,,,,5711122.969656855,0.0,4566240.878071144 
 01/11  04:00:00,,,,,,,,,6502447.312826962,0.0,4566240.878071144 
 01/11  05:00:00,,,,,,,,,7267872.653847698,0.0,4566240.878071144 
 01/11  06:00:00,,,,,,,,,7665375.411873869,0.0,7220896.889668701 
 01/11  07:00:00,,,,,,,,,7692916.287363344,0.0,7767803.380311093 
 01/11  08:00:00,,,,,,,,,31322218.64843497,0.0,7767823.556399135 
 01/11  09:00:00,,,,,,,,,28880306.92899961,0.0,8413665.329002071 
 01/11  10:00:00,,,,,,,,,25790216.5415747,0.0,11629232.214009617 
 01/11  11:00:00,,,,,,,,,22702492.86522153,0.0,4566240.878071144 
 01/11  12:00:00,,,,,,,,,20845595.895224616,0.0,7375739.139473817 
 01/11  13:00:00,,,,,,,,,19619223.999078214,0.0,4566240.878071144 
 01/11  14:00:00,,,,,,,,,17392277.162503228,0.0,7375762.891263599 
 01/11  15:00:00,,,,,,,,,14476162.615964528,0.0,7375786.606623653 
 01/11  16:00:00,,,,,,,,,15883838.458242038,0.0,4566240.878071144 
 01/11  17:00:00,,,,,,,,,19984345.26285863,0.0,7375810.287323353 
 01/11  18:00:00,,,,,,,,,20897861.38510796,0.0,7844282.587877455 
 01/11  19:00:00,,,,,,,,,21004662.653448746,0.0,7843458.738526373 
 01/11  20:00:00,,,,,,,,,1190191.609159861,0.0,7843265.028537437 
 01/11  21:00:00,,,,,,,,,3882954.0153664444,0.0,8287062.402687101 
 01/11  22:00:00,,,,,,,,,4633735.07956339,0.0,9173733.340496937 
 01/11  23:00:00,,,,,,,,,5409198.710518578,0.0,9129408.657135826 
 01/11  24:00:00,3.1302083333333326,1.0171875000000001,2.372332722381356,16.3828125,100.76822916666667,170.9110217294324,-19.322869432033745,53807141.16894708,5828510.186616241,0.0,7767701.5916029615 
 01/12  01:00:00,,,,,,,,,5986532.548045379,0.0,4566240.878071144 
 01/12  02:00:00,,,,,,,,,6170181.9695425145,0.0,4566240.878071144 
 01/12  03:00:00,,,,,,,,,6286760.896917752,0.0,4566240.878071144 
 01/12  04:00:00,,,,,,,,,6263931.294609472,0.0,7220899.534719892 
 01/12  05:00:00,,,,,,,,,5977784.385028318,0.0,4566240.878071144 
 01/12  06:00:00,,,,,,,,,5823966.846877787,0.0,4566240.878071144 
 01/12  07:00:00,,,,,,,,,6030395.976342388,0.0,7767201.519373811 
 01/12  08:00:00,,,,,,,,,31642322.659376528,0.0,8083483.161307808 
 01/12  09:00:00,,,,,,,,,26686405.257558435,0.0,11481007.782159017 
 01/12  10:00:00,,,,,,,,,23664073.889791936,0.0,8202361.607248767 
 01/12  11:00:00,,,,,,,,,21556513.489285767,0.0,7375245.712918548 
 01/12  12:00:00,,,,,,,,,19802136.5960542,0.0,4566240.878071144 
 01/12  13:00:00,,,,,,,,,18411648.609779894,0.0,7375381.746008791 
 01/12  14:00:00,,,,,,,,,15716654.490620706,0.0,7214761.155136956 
 01/12  15:00:00,,,,,,,,,11976414.925038587,0.0,4727048.2088596895 
 01/12  16:00:00,,,,,,,,,12793422.336588645,0.0,7375708.105622068 
 01/12  17:00:00,,,,,,,,,17605339.870748933,0.0,4566240.878071144 
 01/12  18:00:00,,,,,,,,,19305144.701145038,0.0,7954579.847931751 
 01/12  19:00:00,,,,,,,,,19787755.153936826,0.0,10181342.774848325 
 01/12  20:00:00,,,,,,,,,624669.4896817148,0.0,8672710.086158017 
 01/12  21:00:00,,,,,,,,,2956348.84078479,0.0,7843864.804317397 
 01/12  22:00:00,,,,,,,,,3910489.0592696927,0.0,7767765.162205759 
 01/12  23:00:00,,,,,,,,,4463000.434504361,0.0,7767202.326797589 
 01/12  24:00:00,3.6473958333333325,1.4416666666666667,2.896196930851169,16.114583333333332,103.73958333333333,170.82264900506854,-19.187771602204457,51437095.48188129,5064568.610963271,0.0,7767859.704796708 
 01/13  01:00:00,,,,,,,,,5537526.396286968,0.0,4566240.878071144 
 01/13  02:00:00,,,,,,,,,5853740.046756413,0.0,7220763.4702888345 
 01/13  03:00:00,,,,,,,,,5837203.017044861,0.0,4566240.878071144 
 01/13  04:00:00,,,,,,,,,6135059.4980470855,0.0,4566240.878071144 
 01/13  05:00:00,,,,,,,,,6628153.753858844,0.0,7220813.53560309 
 01/13  06:00:00,,,,,,,,,6980991.181544917,0.0,4566240.878071144 
 01/13  07:00:00,,,,,,,,,7143735.24889944,0.0,7768030.909430349 
 01/13  08:00:00,,,,,,,,,30137346.5793915,0.0,7767217.851915369 
 01/13  09:00:00,,,,,,,,,27032630.82228814,0.0,9225881.536891574 
 01/13  10:00:00,,,,,,,,,23613983.401934676,0.0,10815787.396061976 
 01/13  11:00:00,,,,,,,,,20312159.26931921,0.0,4566240.878071144 
 01/13  12:00:00,,,,,,,,,18014049.2848721,0.0,7375132.636504748 
 01/13  13:00:00,,,,,,,,,17101840.17519694,0.0,6475280.248095171 
