ogc_fid,zone_name,param_name,param_value
4136730,Zone2_Core,infiltration_object_name,Infil_residential_A_Zone2_Core
4136730,Zone2_Core,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136730,Zone2_Core,infiltration_flow_m3_s,0.2551348213907853
4136730,Zone2_Core,infiltration_schedule_name,AlwaysOnSched
4136730,Zone2_Core,ventilation_object_name,Vent_residential_A_Zone2_Core
4136730,Zone2_Core,ventilation_object_type,ZONEVENTILATION:DESIGNFLOWRATE
4136730,Zone2_Core,ventilation_flow_m3_s,0.0023333333333333335
4136730,Zone2_Core,ventilation_schedule_name,VentSched_DayNight
4136730,Zone3_FrontPerimeter,infiltration_object_name,Infil_residential_A_Zone3_FrontPerimeter
4136730,Zone3_FrontPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136730,Zone3_FrontPerimeter,infiltration_flow_m3_s,0.2551348213907853
4136730,Zone3_FrontPerimeter,infiltration_schedule_name,AlwaysOnSched
4136730,Zone3_FrontPerimeter,ventilation_object_name,Vent_residential_A_Zone3_FrontPerimeter
4136730,Zone3_FrontPerimeter,ventilation_object_type,ZONEVENTILATION:DESIGNFLOWRATE
4136730,Zone3_FrontPerimeter,ventilation_flow_m3_s,0.0023333333333333335
4136730,Zone3_FrontPerimeter,ventilation_schedule_name,VentSched_DayNight
4136730,Zone3_RightPerimeter,infiltration_object_name,Infil_residential_A_Zone3_RightPerimeter
4136730,Zone3_RightPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136730,Zone3_RightPerimeter,infiltration_flow_m3_s,0.2551348213907853
4136730,Zone3_RightPerimeter,infiltration_schedule_name,AlwaysOnSched
4136730,Zone3_RightPerimeter,ventilation_object_name,Vent_residential_A_Zone3_RightPerimeter
4136730,Zone3_RightPerimeter,ventilation_object_type,ZONEVENTILATION:DESIGNFLOWRATE
4136730,Zone3_RightPerimeter,ventilation_flow_m3_s,0.0023333333333333335
4136730,Zone3_RightPerimeter,ventilation_schedule_name,VentSched_DayNight
4136730,Zone3_RearPerimeter,infiltration_object_name,Infil_residential_A_Zone3_RearPerimeter
4136730,Zone3_RearPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136730,Zone3_RearPerimeter,infiltration_flow_m3_s,0.2551348213907853
4136730,Zone3_RearPerimeter,infiltration_schedule_name,AlwaysOnSched
4136730,Zone3_RearPerimeter,ventilation_object_name,Vent_residential_A_Zone3_RearPerimeter
4136730,Zone3_RearPerimeter,ventilation_object_type,ZONEVENTILATION:DESIGNFLOWRATE
4136730,Zone3_RearPerimeter,ventilation_flow_m3_s,0.0023333333333333335
4136730,Zone3_RearPerimeter,ventilation_schedule_name,VentSched_DayNight
4136730,Zone3_LeftPerimeter,infiltration_object_name,Infil_residential_A_Zone3_LeftPerimeter
4136730,Zone3_LeftPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136730,Zone3_LeftPerimeter,infiltration_flow_m3_s,0.2551348213907853
4136730,Zone3_LeftPerimeter,infiltration_schedule_name,AlwaysOnSched
4136730,Zone3_LeftPerimeter,ventilation_object_name,Vent_residential_A_Zone3_LeftPerimeter
4136730,Zone3_LeftPerimeter,ventilation_object_type,ZONEVENTILATION:DESIGNFLOWRATE
4136730,Zone3_LeftPerimeter,ventilation_flow_m3_s,0.0023333333333333335
4136730,Zone3_LeftPerimeter,ventilation_schedule_name,VentSched_DayNight
4136730,Zone3_Core,infiltration_object_name,Infil_residential_A_Zone3_Core
4136730,Zone3_Core,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136730,Zone3_Core,infiltration_flow_m3_s,0.2551348213907853
4136730,Zone3_Core,infiltration_schedule_name,AlwaysOnSched
4136730,Zone3_Core,ventilation_object_name,Vent_residential_A_Zone3_Core
4136730,Zone3_Core,ventilation_object_type,ZONEVENTILATION:DESIGNFLOWRATE
4136730,Zone3_Core,ventilation_flow_m3_s,0.0023333333333333335
4136730,Zone3_Core,ventilation_schedule_name,VentSched_DayNight
4136732,Zone1_FrontPerimeter,infiltration_object_name,Infil_non_residential_D_Zone1_FrontPerimeter
4136732,Zone1_FrontPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
