Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_2_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/08  03:00:00,,,,,,,,,,322517774.35305846,0.0,3339296.514321888 
 01/08  04:00:00,,,,,,,,,,323398305.0933764,0.0,5993995.912656307 
 01/08  05:00:00,,,,,,,,,,323802883.58310485,0.0,3339296.514321888 
 01/08  06:00:00,,,,,,,,,,323487754.85331714,0.0,3339296.514321888 
 01/08  07:00:00,,,,,,,,,,324639125.37504625,0.0,6241288.339519925 
 01/08  08:00:00,,,,,,,,,,221347958.54961544,0.0,6241975.892452116 
 01/08  09:00:00,,,,,,,,,,210508515.21491256,0.0,6225548.7390965745 
 01/08  10:00:00,,,,,,,,,,198452818.84885082,0.0,5504726.57205514 
 01/08  11:00:00,,,,,,,,,,187885459.41695073,0.0,4303146.1423547305 
 01/08  12:00:00,,,,,,,,,,182225174.25408447,0.0,3339296.514321888 
 01/08  13:00:00,,,,,,,,,,177456675.36968827,0.0,6068845.108228032 
 01/08  14:00:00,,,,,,,,,,174273601.03290358,0.0,3339296.514321888 
 01/08  15:00:00,,,,,,,,,,166548425.6847685,0.0,6069199.279465711 
 01/08  16:00:00,,,,,,,,,,163528900.5265932,0.0,3339296.514321888 
 01/08  17:00:00,,,,,,,,,,165436062.36294,0.0,5633693.987286218 
 01/08  18:00:00,,,,,,,,,,160262505.3334725,0.0,3807584.9194415994 
 01/08  19:00:00,,,,,,,,,,153213934.40471607,0.0,6272204.669253098 
 01/08  20:00:00,,,,,,,,,,238789353.05972064,0.0,6272298.987310143 
 01/08  21:00:00,,,,,,,,,,226421008.86581996,0.0,6272744.219059122 
 01/08  22:00:00,,,,,,,,,,212399095.22397488,0.0,3339296.514321888 
 01/08  23:00:00,,,,,,,,,,204842039.57387522,0.0,6241522.182440186 
 01/08  24:00:00,0.33385416666666695,-0.19583404686953979,0.1188314416176298,6.432291666666667,0.3151041666666667,171.19300465716188,-19.69085628613162,33938425.90849224,0.0,206067185.25496897,0.0,6241736.403485473 
 01/09  01:00:00,,,,,,,,,,209483560.64412427,0.0,3339296.514321888 
 01/09  02:00:00,,,,,,,,,,219996462.98893306,0.0,3339296.514321888 
 01/09  03:00:00,,,,,,,,,,233643678.20097226,0.0,5993749.130396625 
 01/09  04:00:00,,,,,,,,,,237195023.6494882,0.0,3339296.514321888 
 01/09  05:00:00,,,,,,,,,,225674109.08330768,0.0,3339296.514321888 
 01/09  06:00:00,,,,,,,,,,213265083.10884732,0.0,3339296.514321888 
 01/09  07:00:00,,,,,,,,,,209340581.87578756,0.0,6241934.213509813 
 01/09  08:00:00,,,,,,,,,,123164235.31413713,0.0,6241271.909267437 
 01/09  09:00:00,,,,,,,,,,121944835.57446875,0.0,6408252.159923248 
 01/09  10:00:00,,,,,,,,,,112629998.18290864,0.0,6407742.27644074 
 01/09  11:00:00,,,,,,,,,,102670785.56419957,0.0,3339296.514321888 
 01/09  12:00:00,,,,,,,,,,91907938.4957821,0.0,6068634.789960283 
 01/09  13:00:00,,,,,,,,,,81165241.53784582,0.0,3339296.514321888 
 01/09  14:00:00,,,,,,,,,,79570706.05834515,0.0,3339296.514321888 
 01/09  15:00:00,,,,,,,,,,82276435.85838324,0.0,6069230.925562412 
 01/09  16:00:00,,,,,,,,,,85371966.56345454,0.0,3339296.514321888 
 01/09  17:00:00,,,,,,,,,,89082631.05375399,0.0,6069157.28387795 
 01/09  18:00:00,,,,,,,,,,91649269.87966524,0.0,5740334.041233759 
 01/09  19:00:00,,,,,,,,,,94721494.58334921,0.0,3871386.659637151 
 01/09  20:00:00,,,,,,,,,,186758408.1921836,0.0,6272074.015314277 
 01/09  21:00:00,,,,,,,,,,164595794.26147926,0.0,6272323.285069417 
 01/09  22:00:00,,,,,,,,,,145720487.72237876,0.0,6241927.653592389 
 01/09  23:00:00,,,,,,,,,,137710945.20103982,0.0,3339296.514321888 
 01/09  24:00:00,4.736458333333332,4.126040580561692,4.590807866781274,18.317708333333332,18.375,171.0951546233548,-19.574463356569648,33650229.87996551,0.0,135217092.2018959,0.0,6241277.167793706 
 01/10  01:00:00,,,,,,,,,,138261208.1321602,0.0,3339296.514321888 
 01/10  02:00:00,,,,,,,,,,145543381.76637697,0.0,5993950.674870763 
 01/10  03:00:00,,,,,,,,,,167907428.43278152,0.0,3339296.514321888 
 01/10  04:00:00,,,,,,,,,,179242637.3845256,0.0,3339296.514321888 
 01/10  05:00:00,,,,,,,,,,180121238.69875914,0.0,3339296.514321888 
 01/10  06:00:00,,,,,,,,,,180556943.63673958,0.0,5993619.004633967 
 01/10  07:00:00,,,,,,,,,,181131734.4428103,0.0,3567350.6507600574 
 01/10  08:00:00,,,,,,,,,,94976398.9001438,0.0,6012868.736505497 
 01/10  09:00:00,,,,,,,,,,103751684.71085979,0.0,6408478.293821236 
 01/10  10:00:00,,,,,,,,,,111667429.728046,0.0,6408331.595696047 
 01/10  11:00:00,,,,,,,,,,97838577.4818021,0.0,4766932.162504749 
 01/10  12:00:00,,,,,,,,,,88040631.62478292,0.0,4640959.411554022 
 01/10  13:00:00,,,,,,,,,,90586864.51179984,0.0,3339296.514321888 
 01/10  14:00:00,,,,,,,,,,91059835.2320097,0.0,6069074.063825071 
 01/10  15:00:00,,,,,,,,,,92885077.92942539,0.0,3339296.514321888 
 01/10  16:00:00,,,,,,,,,,97846063.76652102,0.0,6069179.059643691 
 01/10  17:00:00,,,,,,,,,,103408505.61386752,0.0,3339296.514321888 
 01/10  18:00:00,,,,,,,,,,118004524.31402485,0.0,6272417.176265152 
 01/10  19:00:00,,,,,,,,,,123273120.55087812,0.0,6272953.267075885 
 01/10  20:00:00,,,,,,,,,,214835821.53547078,0.0,3339296.514321888 
 01/10  21:00:00,,,,,,,,,,216791391.53223294,0.0,6272862.469110487 
 01/10  22:00:00,,,,,,,,,,219501454.2973636,0.0,6241445.340256926 
 01/10  23:00:00,,,,,,,,,,221495617.46420267,0.0,6241857.345761787 
 01/10  24:00:00,4.616666666666666,2.0005208333333333,3.6733112254525153,18.4375,35.565104166666664,171.00130137365522,-19.451784315637955,33428548.38371133,0.0,211960273.75534716,0.0,3339296.514321888 
 01/11  01:00:00,,,,,,,,,,204152838.4967923,0.0,5993947.881824911 
 01/11  02:00:00,,,,,,,,,,206690548.71068436,0.0,3339296.514321888 
 01/11  03:00:00,,,,,,,,,,212163167.01076126,0.0,3339296.514321888 
 01/11  04:00:00,,,,,,,,,,217698495.78694767,0.0,3798797.6398068443 
 01/11  05:00:00,,,,,,,,,,220973172.92498845,0.0,5534160.973721938 
 01/11  06:00:00,,,,,,,,,,219411619.9750013,0.0,3339296.514321888 
 01/11  07:00:00,,,,,,,,,,217890914.39070034,0.0,6241906.799005542 
 01/11  08:00:00,,,,,,,,,,126260167.86551121,0.0,4512520.638251157 
 01/11  09:00:00,,,,,,,,,,133620422.00419113,0.0,5503558.344018915 
 01/11  10:00:00,,,,,,,,,,134274352.99329802,0.0,6072912.680488322 
 01/11  11:00:00,,,,,,,,,,115506671.4784703,0.0,6069156.3943259735 
 01/11  12:00:00,,,,,,,,,,114674822.56566249,0.0,3339296.514321888 
 01/11  13:00:00,,,,,,,,,,115868456.37589736,0.0,6068603.567832779 
 01/11  14:00:00,,,,,,,,,,116884529.98214008,0.0,3339296.514321888 
 01/11  15:00:00,,,,,,,,,,110202715.63346966,0.0,6068963.0615581935 
 01/11  16:00:00,,,,,,,,,,122323372.07865815,0.0,3339296.514321888 
 01/11  17:00:00,,,,,,,,,,136544446.21952817,0.0,3339296.514321888 
 01/11  18:00:00,,,,,,,,,,134311171.43217403,0.0,6272901.213657271 
 01/11  19:00:00,,,,,,,,,,134079327.57433158,0.0,6272810.422051193 
 01/11  20:00:00,,,,,,,,,,227018567.07430354,0.0,6272362.883811427 
 01/11  21:00:00,,,,,,,,,,222009693.36938298,0.0,4874184.864178471 
 01/11  22:00:00,,,,,,,,,,220308074.3243258,0.0,4722374.611991921 
 01/11  23:00:00,,,,,,,,,,230016298.6194215,0.0,6241945.878302904 
 01/11  24:00:00,3.1302083333333326,1.0171875000000001,2.372332722381356,16.3828125,100.76822916666667,170.9110217294324,-19.322869432033745,35994901.40162077,0.0,225470943.6236245,0.0,6241267.779334073 
 01/12  01:00:00,,,,,,,,,,216594226.92579666,0.0,3339296.514321888 
 01/12  02:00:00,,,,,,,,,,212758679.7103662,0.0,3339296.514321888 
 01/12  03:00:00,,,,,,,,,,209017389.5940035,0.0,3392623.813968093 
 01/12  04:00:00,,,,,,,,,,202987607.58001658,0.0,5940625.89892284 
 01/12  05:00:00,,,,,,,,,,196739484.48026842,0.0,3339296.514321888 
 01/12  06:00:00,,,,,,,,,,194679850.51487574,0.0,3339296.514321888 
 01/12  07:00:00,,,,,,,,,,195604940.8334889,0.0,6241588.139530601 
 01/12  08:00:00,,,,,,,,,,101795463.25009796,0.0,6241655.8891354855 
 01/12  09:00:00,,,,,,,,,,104282549.42250207,0.0,6407887.166498294 
 01/12  10:00:00,,,,,,,,,,106310374.48359707,0.0,6408495.487231598 
 01/12  11:00:00,,,,,,,,,,118223849.65932377,0.0,3339296.514321888 
 01/12  12:00:00,,,,,,,,,,122005739.2703405,0.0,3339296.514321888 
 01/12  13:00:00,,,,,,,,,,115605132.84045976,0.0,6069234.950818829 
 01/12  14:00:00,,,,,,,,,,118952077.61586744,0.0,3339296.514321888 
 01/12  15:00:00,,,,,,,,,,112425040.05643477,0.0,6069161.312211024 
 01/12  16:00:00,,,,,,,,,,110200475.45910925,0.0,3339296.514321888 
 01/12  17:00:00,,,,,,,,,,116327612.82249263,0.0,6068614.365423609 
 01/12  18:00:00,,,,,,,,,,125754293.05503762,0.0,3339296.514321888 
 01/12  19:00:00,,,,,,,,,,131415151.96710211,0.0,6272908.870370107 
 01/12  20:00:00,,,,,,,,,,223825282.25632024,0.0,6272818.029893735 
 01/12  21:00:00,,,,,,,,,,222884112.14419436,0.0,6272392.920145337 
 01/12  22:00:00,,,,,,,,,,222956799.14096686,0.0,3806195.530049926 
 01/12  23:00:00,,,,,,,,,,228697290.95775148,0.0,5774728.249282209 
 01/12  24:00:00,3.6473958333333325,1.4416666666666667,2.896196930851169,16.114583333333332,103.73958333333333,170.82264900506854,-19.187771602204457,33651988.601374015,0.0,237507211.85218155,0.0,6241615.537317749 
 01/13  01:00:00,,,,,,,,,,242630066.67086327,0.0,3339296.514321888 
 01/13  02:00:00,,,,,,,,,,243895837.00167722,0.0,3339296.514321888 
 01/13  03:00:00,,,,,,,,,,238924931.13022432,0.0,5993929.273727983 
 01/13  04:00:00,,,,,,,,,,241876226.1837565,0.0,3339296.514321888 
 01/13  05:00:00,,,,,,,,,,248932873.97660756,0.0,3339296.514321888 
 01/13  06:00:00,,,,,,,,,,254585968.34193426,0.0,5993765.669046432 
 01/13  07:00:00,,,,,,,,,,254192572.24581492,0.0,3339296.514321888 
 01/13  08:00:00,,,,,,,,,,154748474.23820156,0.0,6241198.239797728 
 01/13  09:00:00,,,,,,,,,,158929246.3368146,0.0,6407691.8688023295 
 01/13  10:00:00,,,,,,,,,,155392152.26730877,0.0,6407827.976261733 
