ep_id,focus_ogc_fid,edge_label,facade_orientation,building_height,object_id,object_type,object_height,distance_to_facade,height_diff,shading_score_a,shading_score_b,reflectance,transmittance,transmittance_summer,transmittance_winter,angle_deg,direction,geom_28992,vertices_local,active_seasons
1217,4136736,east_side,359.9999814085612,5.8,60081870,tree,2.92,19.0,-2.88,0,0,0.2,0.5,0.5,0.9,179.68403383069528,S,11,"[[0.7578125, -19, 2.92], [-0.7421875, -20, 2.92], [-0.7421875, -19, 2.92], [0.7578125, -20, 2.92], [-0.7421875, -20, 2.92]]","{'winter', 'summer'}"
5100,4136757,south_side,270.11091833609396,5.8,60091917,tree,2.27,40.6332924229012,-3.53,0,0,0.2,0.5,0.5,0.9,280.09867746829593,W,11,"[[-41.03125, 6.96875, 2.27], [-41.03125, 6.96875, 2.27], [-41.03125, 7.46875, 2.27], [-40.03125, 7.46875, 2.27], [-40.03125, 6.96875, 2.27]]","{'winter', 'summer'}"
5645,4136760,south_side,269.7769667905132,8.3,60178700,tree,4.06,22.8792485860304,-4.240000000000001,0,0,0.2,0.5,0.5,0.9,189.6612752886653,S,11,"[[-3.4773374730721116, -22.613450421369635, 4.06], [-4.477337473072112, -24.113450421369635, 4.06], [-4.477337473072112, -22.613450421369635, 4.06], [-3.4773374730721116, -24.113450421369635, 4.06], [-4.477337473072112, -24.113450421369635, 4.06]]","{'winter', 'summer'}"
362,4136732,south_side,270.0000222969845,6.0,60081870,tree,2.92,37.42050746671768,-3.08,0,0,0.2,0.5,0.5,0.9,246.46202344815748,SW,11,"[[-35.903927340666996, -15.71951638488099, 2.92], [-34.403927340666996, -15.71951638488099, 2.92], [-34.403927340666996, -14.71951638488099, 2.92], [-35.903927340666996, -14.71951638488099, 2.92], [-35.903927340666996, -15.71951638488099, 2.92]]","{'winter', 'summer'}"
5124,4136757,south_side,270.11091833609396,5.8,60178700,tree,4.06,13.32181305697539,-1.7400000000000002,0,0,0.2,0.5,0.5,0.9,305.47888275923765,NW,11,"[[-12.03125, 7.46875, 4.06], [-12.03125, 7.46875, 4.06], [-11.03125, 7.46875, 4.06], [-11.03125, 8.96875, 4.06], [-12.03125, 8.96875, 4.06]]","{'winter', 'summer'}"
8513,4136776,north_side,90.00000000244722,8.3,60091982,tree,2.06,4.354654462279212,-6.24,0,0,0.2,0.5,0.5,0.9,354.4593039991571,N,11,"[[-0.6962497416825499, 4.8502300542313606, 2.06], [-0.6962497416825499, 4.3502300542313606, 2.06], [-0.6962497416825499, 4.3502300542313606, 2.06], [-0.19624974168254994, 4.3502300542313606, 2.06], [-0.19624974168254994, 4.8502300542313606, 2.06]]","{'winter', 'summer'}"
8799,4136777,north_side,89.72430491163776,6.2,60178703,tree,2.28,15.465155500232099,-3.9200000000000004,0,0,0.2,0.5,0.5,0.9,252.27569934383047,W,11,"[[-15.279580006521428, -5.053575460799038, 2.28], [-14.779580006521428, -5.053575460799038, 2.28], [-14.779580006521428, -4.553575460799038, 2.28], [-15.279580006521428, -4.553575460799038, 2.28], [-15.279580006521428, -5.053575460799038, 2.28]]","{'winter', 'summer'}"
3573,4136749,north_side,90.16062957332772,6.3,60130596,tree,2.2,7.671579417686071,-4.1,0,0,0.2,0.5,0.5,0.9,227.32729533393,SW,11,"[[-6.534155606321292, -5.812838458572514, 2.2], [-5.534155606321292, -5.812838458572514, 2.2], [-5.534155606321292, -5.312838458572514, 2.2], [-6.534155606321292, -5.312838458572514, 2.2], [-6.534155606321292, -5.812838458572514, 2.2]]","{'winter', 'summer'}"
