param,mu_star,mu_star_conf,sigma
default_heater_capacity_w,1757.9968591062395,0.264216599076607,0.4665871411362855
default_tank_volume_liters,129.98765808595854,0.3536338447125487,0.6501330728644522
dhw_daily_liters,18.201010725456854,0.2733544732901091,0.4748280647223758
dhw_fraction_schedule,0.48513862795334717,0.22897643188070868,0.569267219712801
dhw_heater_capacity_w,1689.2480261806318,0.3847211996564119,0.6148295987682594
dhw_heater_fuel_type,0.5700508033690312,0.22900429454970436,0.7181054285638043
dhw_heater_thermal_eff,0.5627824640591825,0.3213935086308161,0.7677935054994557
dhw_occupant_count,0.5842736874150433,0.2164952763291813,0.4495729479245124
dhw_peak_flow_m3s,0.36332954385025007,0.14435320671972238,0.436471055521883
dhw_setpoint_schedule,0.5031843034166741,0.26093773342413457,0.6885770810892449
dhw_tank_volume_m3,0.5182342197679646,0.2225922737308332,0.6479273960425583
dhw_waterheater_object_name,0.44623529006612445,0.17181543594744997,0.5036264485405866
liters_per_person_per_day,22.367754553760097,0.3032835439979167,0.5043585044484032
occupant_density_m2_per_person,13.490982856866504,0.282913544038549,0.47520997327356207
peak_hours,1.0921344777803825,0.38724352668148326,0.6563108691015632
sched_afternoon,0.6350351800863792,0.18030586794309283,0.7362351455122812
sched_evening,0.5390716055487246,0.31045077222670225,0.5395898876741102
sched_morning,0.40701741211487386,0.1997665884159054,0.5355555460269631
sched_peak,0.43394940704965845,0.19397839211122375,0.39602011771781337
setpoint_c,23.324863210226976,0.35601346265563233,0.6039302451295917
usage_split_factor,0.5218051436772839,0.2670849358971428,0.6074552240076269
Heater_Fuel_Type,0.6555393461419954,0.23250723991779695,0.7854258532896893
Heater_Maximum_Capacity,1689.0753640505282,0.3725778557582972,0.6214624412771568
Heater_Thermal_Efficiency,0.7178874829094639,0.17232587583225625,0.7377928911043776
Name,0.48968763244201907,0.1526233906589193,0.5766090849211528
Setpoint_Temperature_Schedule_Name,0.25831075837540995,0.1109046449766894,0.3272981250900345
Tank_Volume,0.4961961016590976,0.21821015808945118,0.618361722562476
Use_Flow_Rate_Fraction_Schedule_Name,0.36048873495847145,0.20028578227892196,0.4397317292161278
obj_type,0.43216489490159804,0.2117530707217361,0.5798747566723153
lights_wm2,0.47794327206647724,0.12598168898650722,0.5420852978614389
parasitic_wm2,0.39917616255143,0.16553229555994295,0.4817619329778552
tD,0.5588447301900488,0.2002462792043674,0.6864076468861975
tN,0.3275146590181066,0.14966793242611282,0.4415794299225685
lights_fraction_radiant,0.5715277638427324,0.2863444924372524,0.7384507940306299
lights_fraction_visible,0.5398091787111298,0.2430415829676402,0.7046146645132321
lights_fraction_replaceable,0.5072983687669875,0.2272473284074435,0.6089117077384032
equip_fraction_radiant,0.4949099595332882,0.1964189076726495,0.6130142104819503
equip_fraction_lost,0.3582646448616288,0.1999739597130934,0.49088855625099204
roughness,0.5880006604033952,0.19380074279667045,0.6580837262554239
wwr_range_used,0.4465179000951139,0.2309634337042967,0.5457562453517346
wwr,0.2820665770917003,0.20668444216442397,0.4377634013950326
Roughness,0.44218687400107226,0.17335938962737238,0.5218039359932961
Thermal_Resistance,1.8161560429762176,0.41563529648772823,0.7861716789743727
Thermal_Absorptance,0.35204049456160647,0.08457630208196948,0.31769477841378346
Solar_Absorptance,0.6417850598723817,0.36170064288332704,0.7432100009275293
Visible_Absorptance,0.8036803084197345,0.3239393362347171,0.6062263756979055
Optical_Data_Type,0.430031533102283,0.17660418367972688,0.47108388280592106
Thickness,0.4657819049209138,0.20326614334541532,0.5345055303437944
Solar_Transmittance,0.4095894151173525,0.2577959107555989,0.5240070074929326
Front_Solar_Reflectance,0.5033686923452478,0.24180133663969378,0.641475764230125
Back_Solar_Reflectance,0.38897787823079855,0.19381904042172748,0.5116596960914049
Visible_Transmittance,0.7122328416136042,0.2626182416209694,0.7069421078168181
Front_Visible_Reflectance,0.5613759196077808,0.19770831721312812,0.5763723293729208
Back_Visible_Reflectance,0.48958649372716534,0.15776073984127176,0.5292107291906161
IR_Transmittance,0.5267912156894454,0.1756415796712509,0.5222573395322169
Front_IR_Emissivity,0.6226466922892542,0.2377488803990919,0.6027750407168088
Back_IR_Emissivity,0.4597091057763464,0.23178650466995251,0.6334411582237329
Conductivity,0.7123590836979019,0.2711756099946632,0.7802166697381023
Dirt_Correction_Factor,0.7497264369430013,0.2965444721139485,0.7340776565485795
Solar_Diffusing,0.7425659645243285,0.2078948382266758,0.889227771720466
ground_floor_R_value,1.1165310524769665,0.32826429460929035,0.6993415924042282
ground_floor_R_value_range_used,0.46362407056403754,0.18586004662724487,0.5926461774502044
ground_floor_U_value,0.4700557188893072,0.24062474261431754,0.3940126073072386
ground_floor_U_value_range_used,0.43717382560516854,0.12687098450601392,0.4834125660121757
ground_floor_area_m2,27.74947435019776,0.3463162902312874,0.6053328867924063
Density,934.0878796384047,0.40487827965751355,0.6256413348791188
Specific_Heat,376.1755960284389,0.3866549906226462,0.6117899230683341
exterior_wall_R_value,0.8967219647678576,0.3664194920497754,0.6121673299505749
exterior_wall_R_value_range_used,0.7498499754809927,0.23344123746620452,0.8922363312992075
exterior_wall_U_value,0.48693936570198276,0.19284453917064678,0.46656040470074284
exterior_wall_U_value_range_used,0.3565979570721538,0.24559173989383798,0.46378585240470277
exterior_wall_area_m2,41.51740711416069,0.36214729176362903,0.6222805506698765
flat_roof_R_value,1.1410808908632135,0.4072471280515521,0.6172312918156698
flat_roof_R_value_range_used,0.5629135605475313,0.2252630168381496,0.6145009279397348
flat_roof_U_value,0.37034632577624504,0.16599231193627254,0.4673948444292166
flat_roof_U_value_range_used,0.32194722891044875,0.16537100623521542,0.4365433086152125
flat_roof_area_m2,33.883046466927496,0.24484660654748971,0.4016580714875035
inter_floor_R_value,0.6429950878721684,0.2246983358517868,0.40029795314512123
inter_floor_R_value_range_used,0.2721242184219591,0.1502464762885417,0.3763493178805021
inter_floor_U_value,0.5522582078939194,0.21031649638886724,0.658935540165142
inter_floor_U_value_range_used,0.3901315316971704,0.2137370175185397,0.557273323462999
inter_floor_area_m2,24.012914575933063,0.3403445209667225,0.6229757814579474
interior_wall_R_value,0.6065373081142752,0.13395828326648226,0.32156549114407285
interior_wall_R_value_range_used,0.5036523985585518,0.25574351434020715,0.6868246314307449
interior_wall_U_value,0.5252468294409482,0.14464935692252887,0.5013728208308669
interior_wall_U_value_range_used,0.4501921779084114,0.2375011344925539,0.5978587230496367
interior_wall_area_m2,19.856356588038672,0.4421145526507516,0.7439201724081778
windows_R_value,0.5788748110874622,0.17438540796065888,0.39302758113947234
windows_R_value_range_used,0.536417342383993,0.20176807736750252,0.6642539972412327
windows_U_value,1.2372674959521646,0.3493849129888322,0.6158971530346101
windows_U_value_range_used,0.47181384684436123,0.1514692660040524,0.5005611917820306
windows_area_m2,11.248427675669882,0.23561503786260352,0.42833699859890034
doors_R_value,0.36047232154214726,0.13787586518676845,0.4076184079283595
doors_R_value_range_used,0.44624004315091953,0.20651806380088644,0.5704237047953186
doors_U_value,1.47275802979575,0.4097727161233099,0.7796007133681445
doors_U_value_range_used,0.5801617627847918,0.1702989892970141,0.6646926299752688
doors_area_m2,3.137471299118988,0.4017237640523401,0.6025032376985745
top_opaque_material_name,0.5408304665164906,0.2324633264720792,0.6375338701581946
top_window_material_name,0.5264808847004133,0.13928283486286355,0.5568697991859295
window1C_construction,0.49927014573231643,0.24436994373070983,0.6953719122124312
ground_floor_opq_material_name,0.640919469497112,0.2526036239928671,0.8097743693129713
ground_floor_win_material_name,0.3298160031405132,0.21099687246764953,0.400837420382493
ground_floor_construction_name,0.45023387943028864,0.21347075818195527,0.561829727200248
ground_floor_window_construction_name,0.4356625129858912,0.17825279546812858,0.5503696117929863
exterior_wall_opq_material_name,0.6088832761808589,0.16667975484608677,0.6221399844971618
exterior_wall_win_material_name,0.6265867159740083,0.262282581255764,0.780297489683105
exterior_wall_construction_name,0.5794014185543347,0.188175954589636,0.6349262807847641
exterior_wall_window_construction_name,0.6347425856189147,0.24394821692018615,0.7020024453615727
flat_roof_opq_material_name,0.5049317632024213,0.1483501761597618,0.5473192743060223
flat_roof_win_material_name,0.6099574597787978,0.22309099131516144,0.7425311470085221
flat_roof_construction_name,0.4261668066367747,0.2027638929885856,0.5473560934905517
flat_roof_window_construction_name,0.3941965204295229,0.17352839728610422,0.5054543522470362
inter_floor_opq_material_name,0.42560956021370655,0.2041567459458003,0.5580274847595462
