param,S1,ST
infiltration_schedule_name,-2.6685498422892324e-05,1.6123585237122228e-08
infiltration_total_m3_s,-1.696453066172304e-05,1.4742527861546139e-08
inter_floor_R_value,-5.797537199068725e-05,9.794716352989744e-08
inter_floor_R_value_range_used,-1.438768325894976e-05,1.5233018908774e-08
inter_floor_U_value,-2.555781585172702e-05,2.2058925319737936e-08
inter_floor_U_value_range_used,-1.2690572592237776e-05,1.6277259214895035e-08
inter_floor_area_m2,0.0013445746443863345,6.074690202232212e-05
inter_floor_construction_name,-1.548277519575464e-05,1.508773016340206e-08
inter_floor_opq_material_name,-1.2840098576350564e-05,1.8919976361329937e-08
inter_floor_win_material_name,2.1874238386065657e-06,1.780084392423472e-08
inter_floor_window_construction_name,2.2767535788606747e-06,1.3160797515403864e-08
interior_wall_R_value,2.1378653428675023e-05,5.6489015030231815e-08
interior_wall_R_value_range_used,1.270337870481492e-05,1.4352504633728636e-08
interior_wall_U_value,-2.9768661636536978e-05,2.4339675981523387e-08
interior_wall_U_value_range_used,1.6383598563873016e-05,1.7932244807179693e-08
interior_wall_area_m2,-0.00029357869432927193,4.226046476144631e-05
interior_wall_construction_name,-1.4751971688424054e-05,1.5671667272280732e-08
interior_wall_opq_material_name,-3.311452324191758e-06,1.7703800803825396e-08
interior_wall_win_material_name,-1.577049733868904e-05,1.6146511473933825e-08
interior_wall_window_construction_name,-3.475852775528442e-05,1.4978913689743608e-08
lights_fraction_radiant,-6.494403271926234e-06,1.748545322872548e-08
lights_fraction_replaceable,1.7582471136401387e-06,1.5495953439913483e-08
lights_fraction_visible,-1.9759012907162398e-05,1.519696158258143e-08
lights_wm2,-1.0720635793336838e-05,2.094648484184051e-08
liters_per_person_per_day,-2.5997894903976456e-05,5.006418658931383e-05
max_heating_supply_air_temp,0.000519408415427766,4.070792478475337e-05
min_cooling_supply_air_temp,0.00010450860511016001,3.226868021452159e-06
obj_type,-3.3781257615491493e-06,1.6314303364251352e-08
occupant_density_m2_per_person,-0.0005873594995291893,1.8535138131832833e-05
parasitic_wm2,1.290557820430844e-05,1.995329436173303e-08
peak_hours,3.674789733279748e-06,1.0420848209336994e-07
roughness,-4.491046554613849e-06,1.3240247060638519e-08
sched_afternoon,1.2658669676727564e-05,1.7156608834518198e-08
sched_evening,-2.3524071177182357e-05,2.9676228075689233e-08
sched_morning,-1.1240740006847623e-06,2.6421286580540948e-08
sched_peak,-1.4106550640785462e-05,2.933364063483025e-08
setpoint_c,0.000547325970544014,5.811238983500319e-05
system_type,-4.345538660653162e-06,1.619474555301313e-08
tD,1.0641815209604242e-05,1.4824542679535676e-08
tN,-4.1698383269198e-06,1.4829387915204729e-08
top_opaque_material_name,-1.676704750100311e-05,1.7272609598919216e-08
top_window_material_name,9.867951528035725e-06,1.5356075178769403e-08
usage_split_factor,1.9885032531034832e-05,1.9315176399381168e-08
ventilation_schedule_name,-1.2740578909100768e-05,1.523874332221117e-08
ventilation_total_m3_s,-1.3691815099273762e-05,1.4558716039866577e-08
window1C_construction,5.841507877116655e-06,1.2504621710845931e-08
windows_R_value,-2.040605065327001e-06,1.1394209120520313e-07
windows_R_value_range_used,-1.9417308715366148e-05,1.5263931377916565e-08
windows_U_value,2.295864082401057e-05,1.5333218967742334e-07
windows_U_value_range_used,-2.48607161720898e-05,1.7403001537712844e-08
windows_area_m2,2.491013149318937e-05,1.3109283986247547e-05
windows_construction_name,-1.9647243675249314e-05,1.4925757100843255e-08
windows_opq_material_name,-7.71291283246107e-06,1.4384945937796093e-08
windows_win_material_name,-1.0069149539083954e-05,1.7073994699933443e-08
windows_window_construction_name,1.0080502341549594e-06,1.4022698963269064e-08
wwr,-2.172275760553649e-05,1.6603324597640994e-08
wwr_range_used,-2.469166791663415e-05,1.7026320766136297e-08
year_factor,-1.2944089127427749e-05,3.6583294858767846e-08
year_factor_range,-2.1894964711420873e-05,1.7081847252506224e-08
