focus_ogc_fid,edge_label,object_id,object_type,object_height,distance_to_facade,angle_deg,direction,base_reflectance,base_transmittance,base_transmittance_summer,base_transmittance_winter,geom_28992,height_diff,shading_score_a,shading_score_b,angle_diff,is_included,rn
4136730,south_side,4136737,building,8.3,42.53512557395345,287.3196238798837,W,0.2,0,0,0,22,1.8,0.04231796605068066,0.04231796605068066,17.097633484706,True,1
4136732,south_side,4136735,building,6.3,40.6329814404282,287.1904138224335,W,0.2,0,0,0,22,0.3,0.007383164842083474,0.007383164842083474,17.190391525449,True,1
4136734,south_side,4136741,building,6.0,42.10188022917796,182.88296993267627,S,0.2,0,0,0,22,2.8,0.06650534334235053,0.07980641201082063,272.718867330225,True,1
4136734,west_side,4136741,building,6.0,42.10188022917796,182.88296993267627,S,0.2,0,0,0,22,2.8,0.06650534334235053,0.07980641201082063,3.234336879605,True,1
4136735,north_side,4136740,building,7.3,48.409795442512504,142.17364298144136,SE,0.2,0,0,0,22,1.0,0.02065697635899986,0.02272267399489985,52.396640737335,True,1
4136735,south_side,4136744,building,8.3,42.385480065525314,186.4452749653224,S,0.2,0,0,0,22,2.0,0.04718597021687911,0.05662316426025493,276.581187373321,True,1
4136735,south_side,4136750,building,8.3,47.38134388381844,227.02041617666026,SW,0.2,0,0,0,22,2.0,0.04221070649460908,0.046431777144069986,317.156328584659,True,2
