Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/06  13:00:00,13978838.986605838,0.0,1712339.9184327582 
 01/06  14:00:00,13821535.806928452,0.0,4442240.226428891 
 01/06  15:00:00,13547758.235382425,0.0,1712339.9184327582 
 01/06  16:00:00,13710977.576781986,0.0,3965670.008632087 
 01/06  17:00:00,13972071.027783537,0.0,2188534.689728045 
 01/06  18:00:00,13899024.125761576,0.0,4645399.447228352 
 01/06  19:00:00,13719973.616271522,0.0,3232193.249815083 
 01/06  20:00:00,2865817.0708252965,0.0,3125171.6783654103 
 01/06  21:00:00,5061176.048188289,0.0,4645427.992522397 
 01/06  22:00:00,5523165.004025129,0.0,4614989.589292656 
 01/06  23:00:00,4365924.111021904,0.0,3234928.996165675 
 01/06  24:00:00,4617165.828779202,0.0,3091722.0910057295 
 01/07  01:00:00,4822318.536390916,0.0,4366995.669479884 
 01/07  02:00:00,5151822.126713017,0.0,1712339.9184327582 
 01/07  03:00:00,5668225.677407369,0.0,1712339.9184327582 
 01/07  04:00:00,6244907.2962655835,0.0,1712339.9184327582 
 01/07  05:00:00,6910751.490124822,0.0,4366639.5876743775 
 01/07  06:00:00,7472022.046145055,0.0,1712339.9184327582 
 01/07  07:00:00,10275695.312929507,0.0,4614712.715601379 
 01/07  08:00:00,21518972.19585302,0.0,1712339.9184327582 
 01/07  09:00:00,19674643.898299057,0.0,4781296.101404091 
 01/07  10:00:00,16762778.958873965,0.0,4780785.864463861 
 01/07  11:00:00,14250289.25464951,0.0,4441727.544502418 
 01/07  12:00:00,11905741.898451045,0.0,1712339.9184327582 
 01/07  13:00:00,10316405.720645647,0.0,4442263.8999814 
 01/07  14:00:00,9380395.657153832,0.0,1712339.9184327582 
 01/07  15:00:00,9429944.454318475,0.0,1712339.9184327582 
 01/07  16:00:00,10899450.863454899,0.0,4442128.828691047 
 01/07  17:00:00,12872335.277577654,0.0,1712339.9184327582 
 01/07  18:00:00,13522360.194589429,0.0,4645533.09742719 
 01/07  19:00:00,13717921.81607588,0.0,4645981.187940499 
 01/07  20:00:00,3083919.0714113475,0.0,4645890.300788499 
 01/07  21:00:00,5324092.090511651,0.0,1712339.9184327582 
 01/07  22:00:00,5758746.538616816,0.0,4614581.807265175 
 01/07  23:00:00,4579789.395606164,0.0,4614758.314507162 
 01/07  24:00:00,4860361.670033513,0.0,4168248.526538657 
 01/08  01:00:00,5117000.3913791375,0.0,2119826.4724427764 
 01/08  02:00:00,5328474.414550502,0.0,1712339.9184327582 
 01/08  03:00:00,5512272.987394183,0.0,1712339.9184327582 
 01/08  04:00:00,5729723.573931202,0.0,4367039.346187917 
 01/08  05:00:00,5882934.882839508,0.0,1712339.9184327582 
 01/08  06:00:00,6012248.296602266,0.0,1712339.9184327582 
 01/08  07:00:00,7589042.534596847,0.0,4614331.788942758 
 01/08  08:00:00,18345908.59230706,0.0,4615019.32735401 
 01/08  09:00:00,16881783.468770698,0.0,4598790.165310552 
 01/08  10:00:00,15561608.249747232,0.0,3877770.24036218 
 01/08  11:00:00,14688382.247911878,0.0,2676013.5005521597 
 01/08  12:00:00,14073041.907498978,0.0,1712339.9184327582 
 01/08  13:00:00,13667391.226120846,0.0,4441888.412250943 
 01/08  14:00:00,13484579.092099793,0.0,1712339.9184327582 
 01/08  15:00:00,13249620.186809199,0.0,4442242.694112444 
 01/08  16:00:00,13136098.929082932,0.0,1712339.9184327582 
 01/08  17:00:00,13131391.387238262,0.0,4006913.487882752 
 01/08  18:00:00,12950939.815693926,0.0,2180438.975258608 
 01/08  19:00:00,12707790.893931355,0.0,4645248.095461167 
 01/08  20:00:00,1842956.3850908275,0.0,4645409.058335304 
 01/08  21:00:00,3478566.82261151,0.0,4645786.59393253 
 01/08  22:00:00,3603825.7262719413,0.0,1712339.9184327582 
 01/08  23:00:00,2891332.9943044325,0.0,4614566.346276635 
 01/08  24:00:00,3139299.16725117,0.0,4614778.784356279 
 01/09  01:00:00,3344916.1727390755,0.0,1712339.9184327582 
 01/09  02:00:00,3724721.155660689,0.0,1712339.9184327582 
 01/09  03:00:00,4150371.970917835,0.0,4366789.955841091 
 01/09  04:00:00,4328806.36266393,0.0,1712339.9184327582 
 01/09  05:00:00,4235713.570423768,0.0,1712339.9184327582 
 01/09  06:00:00,4022253.272953987,0.0,1712339.9184327582 
 01/09  07:00:00,4882905.394084486,0.0,4614977.766276291 
 01/09  08:00:00,15483568.849662034,0.0,4614315.2233830625 
 01/09  09:00:00,14320798.921407413,0.0,4781296.382881671 
 01/09  10:00:00,12300930.419065833,0.0,4780785.944750769 
 01/09  11:00:00,10884379.160411302,0.0,1712339.9184327582 
 01/09  12:00:00,9381130.920231936,0.0,4441677.661308927 
 01/09  13:00:00,8371563.613354051,0.0,1712339.9184327582 
 01/09  14:00:00,8574742.267859833,0.0,1712339.9184327582 
 01/09  15:00:00,9364436.082723986,0.0,4442274.470702998 
 01/09  16:00:00,9997701.159323948,0.0,1712339.9184327582 
 01/09  17:00:00,10347349.556236504,0.0,4442200.8291269755 
 01/09  18:00:00,10937128.138944589,0.0,4114600.369961462 
 01/09  19:00:00,12549701.376543006,0.0,2243207.7975545526 
 01/09  20:00:00,883936.8875855689,0.0,4644996.085136539 
 01/09  21:00:00,1926823.9786500246,0.0,4645365.856815987 
 01/09  22:00:00,1909401.9348269182,0.0,4614971.307149646 
 01/09  23:00:00,1406632.3170725894,0.0,1712339.9184327582 
 01/09  24:00:00,1561886.8518680856,0.0,4614320.331673841 
 01/10  01:00:00,2007113.8823974512,0.0,1712339.9184327582 
 01/10  02:00:00,2097702.861674793,0.0,4366994.310982428 
 01/10  03:00:00,2694239.058244207,0.0,1712339.9184327582 
 01/10  04:00:00,3090727.8439931655,0.0,1712339.9184327582 
 01/10  05:00:00,3235819.726470922,0.0,1712339.9184327582 
 01/10  06:00:00,3331684.6777396705,0.0,4366659.002158466 
 01/10  07:00:00,4231008.219755084,0.0,1942611.526180898 
 01/10  08:00:00,15813390.574884394,0.0,4383685.666221295 
 01/10  09:00:00,13801256.145084955,0.0,4781521.933809351 
 01/10  10:00:00,11503832.743013123,0.0,4781375.236085478 
 01/10  11:00:00,9663956.478468083,0.0,3143578.82291553 
 01/10  12:00:00,8605802.536589462,0.0,3010399.5928797666 
 01/10  13:00:00,7973341.746045897,0.0,1712339.9184327582 
 01/10  14:00:00,7940732.9054594925,0.0,4442114.636654485 
 01/10  15:00:00,8609583.527230507,0.0,1712339.9184327582 
 01/10  16:00:00,9522342.499524482,0.0,4442222.679449847 
 01/10  17:00:00,10054947.08920963,0.0,1712339.9184327582 
 01/10  18:00:00,10526554.458413528,0.0,4645459.591148291 
 01/10  19:00:00,10679560.042323694,0.0,4645996.903421004 
 01/10  20:00:00,935981.0511600012,0.0,1712339.9184327582 
 01/10  21:00:00,2536092.187413453,0.0,4645906.017059355 
 01/10  22:00:00,2993740.3671546425,0.0,4614489.344453507 
 01/10  23:00:00,2318454.019575939,0.0,4614899.654355034 
 01/10  24:00:00,2370300.664138933,0.0,1712339.9184327582 
 01/11  01:00:00,2412159.11111933,0.0,4366991.41912192 
 01/11  02:00:00,2613756.4246717654,0.0,1712339.9184327582 
 01/11  03:00:00,2895470.163390331,0.0,1712339.9184327582 
 01/11  04:00:00,3234757.3912874297,0.0,2175512.530963441 
 01/11  05:00:00,3549432.4512435882,0.0,3903530.748212278 
 01/11  06:00:00,3701050.437679066,0.0,1712339.9184327582 
 01/11  07:00:00,4684266.818870504,0.0,4614950.346242552 
 01/11  08:00:00,14716819.521266464,0.0,2886827.359110742 
 01/11  09:00:00,13981488.27219843,0.0,3876601.8598059444 
 01/11  10:00:00,11073673.370092668,0.0,4444619.161033264 
 01/11  11:00:00,8404428.586076476,0.0,4442199.9971158495 
 01/11  12:00:00,6814958.375096461,0.0,1712339.9184327582 
 01/11  13:00:00,5742303.639965583,0.0,4441647.323627181 
 01/11  14:00:00,5495533.445847623,0.0,1712339.9184327582 
 01/11  15:00:00,5771506.381237829,0.0,4442004.181305002 
 01/11  16:00:00,7409274.781009823,0.0,1712339.9184327582 
 01/11  17:00:00,9415235.319492819,0.0,1712339.9184327582 
 01/11  18:00:00,10019425.994614735,0.0,4645944.827302515 
 01/11  19:00:00,10276673.860574547,0.0,4645854.0348455105 
 01/11  20:00:00,874788.7331731281,0.0,4645181.35361345 
 01/11  21:00:00,2480016.260279104,0.0,3248741.040853046 
 01/11  22:00:00,2977701.224229548,0.0,3093921.2047504047 
 01/11  23:00:00,2526904.1517486842,0.0,4614989.45117882 
 01/11  24:00:00,2747834.8705850895,0.0,4614311.173868564 
 01/12  01:00:00,2809030.1025651665,0.0,1712339.9184327582 
 01/12  02:00:00,2888132.227484971,0.0,1712339.9184327582 
 01/12  03:00:00,2931812.710949799,0.0,1769984.6410682648 
 01/12  04:00:00,2908852.37586571,0.0,4309348.222004035 
 01/12  05:00:00,2789991.3736061077,0.0,1712339.9184327582 
 01/12  06:00:00,2750426.9110786524,0.0,1712339.9184327582 
 01/12  07:00:00,3729238.2962217056,0.0,4614630.5939633865 
 01/12  08:00:00,13508421.927673656,0.0,4614700.336212253 
 01/12  09:00:00,12702122.296970978,0.0,4780930.018537426 
 01/12  10:00:00,9880687.109251346,0.0,4781539.066074936 
 01/12  11:00:00,7893819.999192874,0.0,1712339.9184327582 
 01/12  12:00:00,6393337.242023962,0.0,1712339.9184327582 
 01/12  13:00:00,5161027.111797152,0.0,4442278.51418565 
 01/12  14:00:00,4721560.373061863,0.0,1712339.9184327582 
 01/12  15:00:00,4710389.787468551,0.0,4442204.875699441 
 01/12  16:00:00,6086464.224380821,0.0,1712339.9184327582 
 01/12  17:00:00,8147109.801734892,0.0,4441658.192169421 
 01/12  18:00:00,9119051.7308776,0.0,1712339.9184327582 
 01/12  19:00:00,9554278.479249073,0.0,4645952.438014319 
 01/12  20:00:00,462026.2417778168,0.0,4645017.129362137 
 01/12  21:00:00,1883622.4408953753,0.0,4645437.223136099 
 01/12  22:00:00,2490527.3922752803,0.0,2181170.2213094784 
 01/12  23:00:00,1924814.7954938896,0.0,4145839.061128701 
 01/12  24:00:00,2332249.402345469,0.0,4614660.225945165 
 01/13  01:00:00,2612708.7780017406,0.0,1712339.9184327582 
 01/13  02:00:00,2788257.030042668,0.0,1712339.9184327582 
 01/13  03:00:00,2795722.1638321984,0.0,4366977.3233062 
 01/13  04:00:00,2958393.9545484944,0.0,1712339.9184327582 
 01/13  05:00:00,3207428.009309862,0.0,1712339.9184327582 
 01/13  06:00:00,3398600.976092074,0.0,4366805.223109977 
 01/13  07:00:00,4612339.388032297,0.0,1712339.9184327582 
 01/13  08:00:00,14156707.764867356,0.0,4614235.384112689 
 01/13  09:00:00,13269099.416988559,0.0,4780735.457217408 
 01/13  10:00:00,11197391.856991045,0.0,4780870.7692351425 
 01/13  11:00:00,8821731.21052494,0.0,1712339.9184327582 
 01/13  12:00:00,7204102.259390389,0.0,4442083.826477342 
 01/13  13:00:00,6857214.872419812,0.0,1712339.9184327582 
 01/13  14:00:00,7102753.117336145,0.0,4442225.069410211 
 01/13  15:00:00,7801197.844481319,0.0,1712339.9184327582 
 01/13  16:00:00,8763106.182590764,0.0,3712397.227819275 
 01/13  17:00:00,9343664.168846559,0.0,2441691.3722430477 
 01/13  18:00:00,9565642.6455969,0.0,4645345.702481188 
 01/13  19:00:00,9669056.248570932,0.0,3100732.0190319624 
 01/13  20:00:00,425674.8661548608,0.0,3256611.817775879 
 01/13  21:00:00,1693866.8044880158,0.0,4645555.111708773 
 01/13  22:00:00,2201491.8417324824,0.0,4614973.611272639 
 01/13  23:00:00,1622526.2251763996,0.0,3093322.7498253165 
 01/13  24:00:00,1823055.8363391478,0.0,3233335.4222597126 
 01/14  01:00:00,1976694.3225108683,0.0,4223678.364702326 
 01/14  02:00:00,2110106.390270631,0.0,1855533.8563351564 
 01/14  03:00:00,2231379.689302327,0.0,1712339.9184327582 
 01/14  04:00:00,2356208.6050945874,0.0,1712339.9184327582 
 01/14  05:00:00,2446880.5004478605,0.0,4366902.318513672 
 01/14  06:00:00,2502193.4624803467,0.0,1712339.9184327582 
 01/14  07:00:00,3408252.398476149,0.0,4614820.773891956 
 01/14  08:00:00,14420476.63193715,0.0,1712339.9184327582 
 01/14  09:00:00,12263002.856948096,0.0,4781212.200418718 
 01/14  10:00:00,11392728.206669364,0.0,4780759.895459569 
 01/14  11:00:00,10751628.745085962,0.0,4441835.676604032 
 01/14  12:00:00,10290670.80401231,0.0,1712339.9184327582 
 01/14  13:00:00,9899374.010094803,0.0,4442248.574311317 
 01/14  14:00:00,9086462.889660344,0.0,1712339.9184327582 
 01/14  15:00:00,8095977.193614383,0.0,1712339.9184327582 
 01/14  16:00:00,8199246.47565998,0.0,4441946.374810212 
 01/14  17:00:00,8983818.124165311,0.0,1712339.9184327582 
 01/14  18:00:00,9175775.763817098,0.0,4645619.809900305 
 01/14  19:00:00,9080051.48138021,0.0,4645965.002323007 
 01/14  20:00:00,88165.39203989325,0.0,4645404.834660481 
 01/14  21:00:00,931916.4770392291,0.0,1712339.9184327582 
 01/14  22:00:00,1306757.4129920672,0.0,4614505.018241277 
 01/14  23:00:00,879323.4728862903,0.0,4614872.017097136 
 01/14  24:00:00,1053403.8254330412,0.0,4026018.5027077263 
 01/15  01:00:00,1173555.0233323427,0.0,2249661.3833892364 
 01/15  02:00:00,1266170.0105142486,0.0,1712339.9184327582 
 01/15  03:00:00,1378382.9444288453,0.0,1712339.9184327582 
 01/15  04:00:00,1474381.1878066598,0.0,4367034.641303884 
 01/15  05:00:00,1531032.2368645335,0.0,1712339.9184327582 
 01/15  06:00:00,1584290.2166243582,0.0,1712339.9184327582 
 01/15  07:00:00,2250744.0762916203,0.0,4614325.175567171 
 01/15  08:00:00,12977497.145750158,0.0,4615014.2546292655 
 01/15  09:00:00,10940039.453569327,0.0,4566168.1092848405 
 01/15  10:00:00,10138525.043480057,0.0,3877727.1170859635 
 01/15  11:00:00,9587449.469784873,0.0,2705016.3047416145 
 01/15  12:00:00,9152097.635863138,0.0,1712339.9184327582 
 01/15  13:00:00,8740863.09768999,0.0,4441905.171477028 
 01/15  14:00:00,8198789.416995097,0.0,1712339.9184327582 
 01/15  15:00:00,7771503.93472255,0.0,4442240.957534138 
 01/15  16:00:00,7962777.232726393,0.0,1712339.9184327582 
 01/15  17:00:00,8317767.346022524,0.0,3977902.247629389 
 01/15  18:00:00,8372534.025009231,0.0,2211633.131956431 
 01/15  19:00:00,8330753.907239655,0.0,4645245.007675562 
 01/15  20:00:00,0.0,0.0,4645197.316877196 
 01/15  21:00:00,538550.7200965888,0.0,4645812.861294862 
 01/15  22:00:00,981676.1649661558,0.0,1712339.9184327582 
 01/15  23:00:00,724932.3728281131,0.0,4614547.691084585 
 01/15  24:00:00,948718.7564055308,0.0,4614804.947030043 
 01/16  01:00:00,1120693.607785191,0.0,1712339.9184327582 
 01/16  02:00:00,1333664.8307378516,0.0,1712339.9184327582 
 01/16  03:00:00,1554210.7070863,0.0,4366857.939342238 
 01/16  04:00:00,1793616.0007949295,0.0,1712339.9184327582 
 01/16  05:00:00,2025330.4233131646,0.0,1712339.9184327582 
 01/16  06:00:00,2220129.1429603463,0.0,1712339.9184327582 
 01/16  07:00:00,3216626.243417745,0.0,4614974.014998238 
 01/16  08:00:00,14219260.507200763,0.0,4614431.801009854 
 01/16  09:00:00,12351955.053439835,0.0,4781276.054195549 
 01/16  10:00:00,10472944.050279312,0.0,4780779.236405978 
 01/16  11:00:00,8040003.603392387,0.0,1712339.9184327582 
 01/16  12:00:00,5974526.667874815,0.0,4441692.341054332 
 01/16  13:00:00,4224425.762826687,0.0,1712339.9184327582 
 01/16  14:00:00,3208419.6888220524,0.0,1712339.9184327582 
 01/16  15:00:00,3247619.4635112956,0.0,4442270.893556991 
 01/16  16:00:00,5130148.270911461,0.0,1712339.9184327582 
 01/16  17:00:00,7427284.046298479,0.0,4442197.236306881 
 01/16  18:00:00,8441751.019369105,0.0,4083470.726783784 
 01/16  19:00:00,9006414.672893569,0.0,2274320.990150608 
 01/16  20:00:00,326162.05249124835,0.0,4644999.076141557 
 01/16  21:00:00,1840789.5777370837,0.0,4645378.79194058 
 01/16  22:00:00,2694022.9296188885,0.0,4614967.5026761945 
 01/16  23:00:00,2278148.0969780153,0.0,1712339.9184327582 
 01/16  24:00:00,2722499.4902941296,0.0,4614324.332541693 
 01/17  01:00:00,2901617.795190155,0.0,1712339.9184327582 
 01/17  02:00:00,3029293.3354376843,0.0,4366990.772593073 
 01/17  03:00:00,3135158.1969158878,0.0,1712339.9184327582 
 01/17  04:00:00,3205185.2432989813,0.0,1712339.9184327582 
 01/17  05:00:00,3408570.9424866457,0.0,1712339.9184327582 
 01/17  06:00:00,3571871.335407081,0.0,4366713.844091292 
 01/17  07:00:00,4635191.64476845,0.0,1908792.754574651 
 01/17  08:00:00,14288056.002389632,0.0,4417508.882456465 
 01/17  09:00:00,13164356.322145961,0.0,4781517.990105537 
 01/17  10:00:00,10239640.90430174,0.0,4781371.285671626 
 01/17  11:00:00,7730187.915797621,0.0,3083337.1568010347 
 01/17  12:00:00,5523693.023441201,0.0,3070641.7983300667 
 01/17  13:00:00,3876700.2720897226,0.0,1712339.9184327582 
 01/17  14:00:00,2971667.4309731545,0.0,4442163.075295795 
 01/17  15:00:00,2941165.346555317,0.0,1712339.9184327582 
 01/17  16:00:00,4734398.067517228,0.0,4442219.07318818 
 01/17  17:00:00,6817259.263714954,0.0,1712339.9184327582 
 01/17  18:00:00,7664100.682753657,0.0,4645476.4213591805 
 01/17  19:00:00,7983802.532186074,0.0,4645993.098556095 
 01/17  20:00:00,0.0,0.0,1712339.9184327582 
 01/17  21:00:00,515465.47010078304,0.0,4645372.70858379 
 01/17  22:00:00,856059.2451397346,0.0,4614474.050319599 
 01/17  23:00:00,642270.3167425515,0.0,4614928.509533029 
 01/17  24:00:00,779489.1197379082,0.0,1712339.9184327582 
 01/18  01:00:00,875832.6936530359,0.0,4366987.951407209 
 01/18  02:00:00,1046130.096627698,0.0,1712339.9184327582 
 01/18  03:00:00,1217240.0823449804,0.0,1712339.9184327582 
 01/18  04:00:00,1359738.8759828338,0.0,2079922.4280233136 
 01/18  05:00:00,1495139.1486403418,0.0,3999179.485768114 
 01/18  06:00:00,1619224.1469482007,0.0,1712339.9184327582 
 01/18  07:00:00,2409394.934667398,0.0,4614946.619655079 
 01/18  08:00:00,13080151.794857021,0.0,2853614.6726489626 
 01/18  09:00:00,10981669.281624679,0.0,3876599.3759301105 
 01/18  10:00:00,10167308.14626491,0.0,4479766.719003301 
 01/18  11:00:00,10050184.86272667,0.0,4442190.711083874 
 01/18  12:00:00,9077350.993497863,0.0,1712339.9184327582 
 01/18  13:00:00,8363040.984672935,0.0,4441640.427597424 
 01/18  14:00:00,7672706.529548733,0.0,1712339.9184327582 
