Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/03  22:00:00,,,,,,,,,3288089.353967443,0.0,7768044.414171283 
 01/03  23:00:00,,,,,,,,,3812357.098221466,0.0,7767299.714534149 
 01/03  24:00:00,1.1666666666666665,-0.6007504992247794,0.3890060654580482,14.333333333333334,122.921875,171.70635220439564,-20.176959693862347,51473452.24440163,4063217.766631541,0.0,7767419.750290498 
 01/04  01:00:00,,,,,,,,,4819326.722044101,0.0,4566240.878071144 
 01/04  02:00:00,,,,,,,,,5522165.018858701,0.0,7220926.321593072 
 01/04  03:00:00,,,,,,,,,5934756.946569758,0.0,4566240.878071144 
 01/04  04:00:00,,,,,,,,,6345210.189786013,0.0,4566240.878071144 
 01/04  05:00:00,,,,,,,,,6939187.7926679095,0.0,5965539.789712233 
 01/04  06:00:00,,,,,,,,,7447221.977114005,0.0,5821044.855578151 
 01/04  07:00:00,,,,,,,,,7889403.9464919735,0.0,7767986.356559362 
 01/04  08:00:00,,,,,,,,,32215926.41674321,0.0,7767426.989489345 
 01/04  09:00:00,,,,,,,,,29199759.10332411,0.0,8799365.489834841 
 01/04  10:00:00,,,,,,,,,25791357.65599201,0.0,11243108.485489175 
 01/04  11:00:00,,,,,,,,,22975730.46964006,0.0,4566240.878071144 
 01/04  12:00:00,,,,,,,,,20873417.723603062,0.0,7375573.707896141 
 01/04  13:00:00,,,,,,,,,19393302.660509214,0.0,5132994.655678328 
 01/04  14:00:00,,,,,,,,,16806939.504416868,0.0,6808632.231093768 
 01/04  15:00:00,,,,,,,,,13828143.507639062,0.0,7375248.786067429 
 01/04  16:00:00,,,,,,,,,15157073.275333053,0.0,4566240.878071144 
 01/04  17:00:00,,,,,,,,,19233942.99974727,0.0,7375162.061761092 
 01/04  18:00:00,,,,,,,,,20483155.935082253,0.0,7844326.461123166 
 01/04  19:00:00,,,,,,,,,20923769.647671185,0.0,7843583.168817726 
 01/04  20:00:00,,,,,,,,,1276563.788500051,0.0,7843254.161629878 
 01/04  21:00:00,,,,,,,,,4481616.023983608,0.0,8803316.500714969 
 01/04  22:00:00,,,,,,,,,5660181.028587414,0.0,9173592.856939152 
 01/04  23:00:00,,,,,,,,,6542707.60398048,0.0,8625287.236756478 
 01/04  24:00:00,-2.370833333333333,-3.617708333333334,-2.8442852708335775,14.375,129.13541666666666,171.60081020210077,-20.09265613455602,53815659.163855515,7152365.009154243,0.0,7767383.415345793 
 01/05  01:00:00,,,,,,,,,7480090.37323356,0.0,4566240.878071144 
 01/05  02:00:00,,,,,,,,,7860218.34685324,0.0,4566240.878071144 
 01/05  03:00:00,,,,,,,,,8391005.35588259,0.0,5749652.893413956 
 01/05  04:00:00,,,,,,,,,8889422.746493049,0.0,6036941.362956442 
 01/05  05:00:00,,,,,,,,,9317113.161048386,0.0,4566240.878071144 
 01/05  06:00:00,,,,,,,,,9748853.749437235,0.0,4566240.878071144 
 01/05  07:00:00,,,,,,,,,10153578.599992486,0.0,7767286.051121738 
 01/05  08:00:00,,,,,,,,,35929545.56295973,0.0,8584442.393916292 
 01/05  09:00:00,,,,,,,,,32595666.058935087,0.0,10912651.020891853 
 01/05  10:00:00,,,,,,,,,29265694.590365995,0.0,8202352.4214307 
 01/05  11:00:00,,,,,,,,,26624207.94342803,0.0,7375787.732072104 
