BuildingID,VariableName,01-Jan,02-Jan,03-Jan,04-Jan,05-Jan,06-Jan,07-Jan,08-Jan,09-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,01-Feb,02-Feb,03-Feb,04-Feb,05-Feb,06-Feb,07-Feb,08-Feb,09-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,01-Mar,02-Mar,03-Mar,04-Mar,05-Mar,06-Mar,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,01-Apr,02-Apr,03-Apr,04-Apr,05-Apr,06-Apr,07-Apr,08-Apr,09-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,01-May,02-May,03-May,04-May,05-May,06-May,07-May,08-May,09-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,01-Jun,02-Jun,03-Jun,04-Jun,05-Jun,06-Jun,07-Jun,08-Jun,09-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,01-Jul,02-Jul,03-Jul,04-Jul,05-Jul,06-Jul,07-Jul,08-Jul,09-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,01-Aug,02-Aug,03-Aug,04-Aug,05-Aug,06-Aug,07-Aug,08-Aug,09-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,01-Sep,02-Sep,03-Sep,04-Sep,05-Sep,06-Sep,07-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,01-Oct,02-Oct,03-Oct,04-Oct,05-Oct,06-Oct,07-Oct,08-Oct,09-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,01-Nov,02-Nov,03-Nov,04-Nov,05-Nov,06-Nov,07-Nov,08-Nov,09-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,01-Dec,02-Dec,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,10-Dec,11-Dec,12-Dec,13-Dec,14-Dec,15-Dec,16-Dec,17-Dec,18-Dec,19-Dec,20-Dec,21-Dec,22-Dec,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,28-Dec,29-Dec,30-Dec,31-Dec
1,Cooling:EnergyTransfer [J](Hourly),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571.430279,136950.4222,0,280550.9809,0,612677.3763,1265300.953,2117253.053,893868.55,635262.6695,404300.2605,481941.8252,65120.08095,955868.3165,0,0,0,3684.447331,0,0,0,27407.55099,951346.9503,307075.2815,0,0,154993.8462,824107.8428,691364.7591,463074.5493,682337.2668,476082.5552,457462.5336,233182.5997,0,0,944875.736,1131272.045,1163216.977,585255.8831,1287806.537,1349134.082,443308.6385,3405.48482,375902.9797,1732562.58,1788832.664,1804072.458,4662882.54,748274.9276,1963439.313,0,0,409998.0731,942206.2368,0,42995.15639,719978.1903,2740795.304,1985429.081,6112792.413,7954974.323,3268325.232,4448688.366,1780542.969,0,0,897120.894,4754697.429,1128368.138,1002274.595,115972.5122,665665.591,385432.241,1278525.407,748083.3602,387034.5009,0,1021407.751,1403019.335,4605190.437,3927088.298,2983438.479,1961720.947,6523284.393,3587477.084,3260953.158,2612275.632,960240.2478,1351715.249,2546800.604,723758.655,1427867.003,1187406.543,0,317094.4554,833831.3875,878889.0165,372942.5022,94461.99388,257318.2053,26810.97101,1415205.94,2023061.034,1881130.289,2139014.616,3150470.191,3162276.825,2899220.11,7381719.592,7159158.839,2585828.957,1427809.855,1721471.404,980376.6857,886742.2229,396117.1295,0,389837.8567,548865.2425,160848.4473,395622.2438,3250579.675,2252695.652,2077873.185,4532790.365,1558365.402,4185462.551,903297.1086,1016005.168,3539107.035,1204701.666,4812203.517,1729211.865,5026978.32,767127.2895,1167250.116,850403.7133,145435.1656,966372.1702,518554.7372,293531.0536,383331.5378,323036.3346,2095715.721,2911590.166,3293934.184,1522687.806,1758521.477,1548016.157,2560545.321,1136184.919,0,314737.9776,943815.2706,2172440.946,850526.7392,320877.3734,20922.25161,33313.15997,0,0,214661.1427,14204.43543,91337.98619,644099.1745,352738.726,0,18584.57882,363500.2051,182869.2778,927491.8609,1794396.569,0,0,0,3696.786593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219.297078,1302.959736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Electricity:Facility [J](Hourly) ,4790633.024,1855840.075,2124216.416,2175318.801,4437610.646,2069264.935,4676741.837,2043740.787,4773427.922,4578264.936,2167637.316,2080550.605,4913343.954,1670540.598,1940519.061,4789294.545,1721497.395,1875195.159,4386282.023,4560490.884,2274226.756,4889694.398,2001955.703,1794253.493,4511680.387,4488354.602,2073007.626,4711240.955,4255342.832,4562670.548,4985409.554,1826862.62,2057238.076,4951710.236,4778246.05,4574595.428,4747260.314,4416168.186,4491042.594,4713401.636,4460552.304,4411381.562,4646178.248,1951946.709,1690825.817,4537328.374,4454941.649,4491261.15,4506254.988,4537303.401,4852646.6,4441212.645,1750184.822,4803585.428,4336645.926,1684016.621,1777971.911,4384761.019,4792842.118,4747257.947,4650454.947,2147803.54,1895211.187,1655231.747,4894965.409,4630414.364,4404920.004,4409543.608,1977264.698,4454297.505,1888003.971,2210319.672,4872213.56,2265332.132,1909524.133,4881601.481,1867554.838,1666187.678,2242222.97,4607023.262,2039592.15,2276538.493,1758722.463,4772362.066,4800656.874,4259236.401,1922605.756,4281685.104,4736570.844,1701807.878,4792789.748,2066778.269,2029112.859,1769545.429,2150711.33,4687234.873,2247164.736,1866535.143,1958379.515,1771451.278,4874363.43,1813749.815,4309136.515,2234155.749,1675523.99,4593218.825,2069896.253,2134907.161,4362470.706,4885703.178,2010009.586,4510810.175,4427155.166,1754558.314,4840491.41,2054125.766,1941510.416,1771795.198,4665963.087,4516260.806,2109158.203,4576454.815,1850874.358,4693802.466,2124145.098,2112996.039,4358805.157,1659013.606,4433628.716,4848118.779,4745277.067,4345262.73,2219572.743,4581840.962,4298900.686,2259286.916,4625834.122,4451739.113,2150515.327,2149130.253,4767158.502,1825203.95,4488760.102,4279383.492,1937062.796,1801117.605,1798431.67,4461870.502,4347573.922,5016730.078,2090354.654,4838300.652,4790523.659,4937547.673,4272793.104,4414673.98,1949661.594,1674971.016,1907658.607,1738538.305,4349698.338,4621032.468,1731061.482,1981736.346,1990790.392,2033519.85,4412869.285,2023279.573,2211421.555,1869876.12,4950008.825,2195934.405,2193308.055,2039892.829,1722780.056,4778402.737,4802652.369,4979256.223,1911858.74,1906041.752,1796552.971,2318863.203,4599923.76,4872850.264,2201996.945,4879833.291,1909998.392,1677152.321,4425954.732,4299542.888,4749832.858,5026354.407,1892026.51,4598060.886,4440947.537,4646195.993,1898064.224,1766536.988,1988546.213,4606038.604,2127118.783,2048073.818,4693313.159,2133353.936,4563379.698,4701787.649,1776235.361,2233329.755,4436933.972,4645238.887,4682659.611,4536520.314,4558291.671,2023309.931,4580819.539,2158003.861,4953066.865,4732756.915,2123861.324,2073138.303,1862510.146,1691563.076,1886554.274,1906997.229,4480680.773,2140346.073,4948248.727,2195997.153,1773124.26,4334168.508,1942235.534,2256240.211,1719512.983,1858971.193,4292391.382,4498626.177,2295196.973,4907018.327,2158352.722,4830104.626,1963139.402,4255469.802,1695006.367,4734722.306,1685937.264,2160121.377,4760421.554,4720378.07,4676668.674,1945719.95,4811477.947,4884058.396,1720658.438,2202445.044,1833693.828,1638177.612,1659877.209,4931050.111,4619587.03,1744179.424,4514847.565,1957897.987,4336798.145,1858633.673,4882763.617,2110444.307,4828100.751,2241855.181,4540019.208,2215599.214,1886789.652,2106354.122,4868029.153,1715900.318,4627762.431,5057744.027,1701196.629,4575800.397,4791898.6,4408811.836,4405553.143,4730278.171,4833668.609,2053978.701,4601147.179,4484316.804,4622305.625,4768364.896,4558359.689,1721241.77,2186401.962,1726538.982,4700062.639,2312316.939,4557110.144,4451979.271,2119647.13,4741821.701,4805953.474,1952436.409,2263797.52,4408795.422,4873067.146,1873661.32,4733213.974,4540527.801,4483248.661,4588442.714,4741159.456,1877541.962,2045076.837,1967642.317,1695132.017,4684025.196,1664700.561,1899302.654,4705053.24,2277203.445,1985389.513,1975861.011,4505889.287,2190022.693,4733439.115,4391945.727,2301536.774,1963617.782,1980164.724,4933851.045,4706321.27,4483939.127,1772559.301,4524999.164,1852142.955,4341525.562,1790726.594,4546591.253,2106933.307,4695336.284,4436822.771,4848565.024,2216850.607,1727019.319,4765798.023,4334891.415,2129517.563,1901418.003,4360946.601,2069176.774,4344458.289,1869269.583,1717053.29,1767899.284,4627000.219,1629874.221,4422123.186,1826312.954,1866398.677,2165457.838,2066981.373,4907773.55,2199799.572,4820941.78,1981556.976,4427300.676,4530229.367
1,Heating:EnergyTransfer [J](Hourly),11391489.06,9695868.072,3424830.478,10782057.13,12442357.6,14743754.38,13951358.44,13180789.59,4150527.366,8660253.884,3582299.21,2801615.611,8174549.441,7883750.181,3158336.751,3273808.383,2894230.025,7988768.605,3108394.597,2138770.507,2483606.335,7582892.917,2832828.204,2386959.023,7930702.54,8643480.825,8588022.328,6783017.472,3297181.661,2961740.062,4718066.252,3392158.128,10755786.14,12231110.5,15135602.23,3657680.852,6067364.108,3890334.201,4680110.4,6775564.591,6635851.331,2592071.486,5328019.851,4488604.715,6667644.959,2049133.556,3374398.917,3364248.362,3174732.636,6085925.986,6007539.601,2583829.226,2106728.07,2040283.737,2800539.898,2380642.834,2668267.702,6546905.246,5335974.062,2341992.657,3833149.68,1445540.765,5258518.797,6674245.741,9633686.702,9257857.667,2893162.936,5485347.125,6461747.974,3590607.681,2618302.004,2449313.48,1871937.531,4133729.561,1723181.001,7818847.834,3364495.637,6735606.51,2719005.481,6881572.9,2549923.316,2979863.894,3453070.767,3038917.649,2470079.422,4226287.892,2483127.588,5089801.707,1733286.084,3843737.171,4284493.991,7242806.162,5601531.843,3269388.717,2250563.442,4900152.262,1231080.48,5050266.61,1654328.434,4152159.921,744891.9802,255221.1467,89233.56413,183205.6182,444922.66,486545.3519,163761.1439,118555.5581,27600.7309,110420.2069,108699.3975,72716.90131,79606.44976,74760.87092,155413.5902,1748504.966,498874.6995,929782.1406,962511.1259,2832727.567,291369.6428,244725.9217,230703.0068,134096.2668,45577.8712,615911.7644,112034.933,0,0,0,0,0,0,0,15842.73341,115352.7821,54715.71725,5141.7259,0,0,0,0,0,0,0,0,0,0,0,0,0,37603.66701,66112.78412,3537.727546,0,228212.6884,64694.63362,7035.961634,0,0,0,0,0,0,0,2518.652311,19270.17023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211.095966,2482.902988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6283.654101,34419.52719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2989.663702,12662.93586,6764.941199,20131.35532,49069.17355,131380.7712,25757.08659,225356.7264,52799.55145,111121.688,42602.98003,63719.3428,205089.3309,235468.7304,988579.9605,267695.8416,1081076.061,288181.5052,631069.0104,2071710.023,567060.1265,1162818.666,521458.0585,789357.438,3480611.787,2017798.884,903326.8464,1044434.269,1375925.053,2107993.632,1529346.321,1231700.857,3000929.338,4182610.493,2375316.821,1052439.401,1744950.577,3480671.43,675633.6587,985924.6615,552302.7705,2319890.022,1182816.505,995019.792,945801.5958,1207518.035,917415.098,3420612.313,6414752.264,2607931.347,4283059.59,1346489.657,1243509.507,4409166.046,5600227.906,7960349.795,5539817.194,2457623.526,9303347.765,2946867.673,8055561.66,2942351.403,8402127.376,9326591.489,3307682.004,5631806.803,5063380.854,5579625.047,5101214.82,4720463.873,2257195.669,2251273.877,2399656.403,2284954.128,3140703.791,10428036.37,3282661.524,8107622.669,4819013.839,5057762.556,5346335.336,3806459.907,4492007.494,5062534.892,10424568.54,2582596.253,5703260.588,10346984.3,10268202.1,3586326.559,2950698.954,3699824.466,4323632.659,8791987.164,11876570.64,6608690.229,12856328.46,8254028.953,4806918.607,4124598.985,4938453.294,10807749.13,11556670.12,6085128.828
1,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),22922345.94,47662230.75,48035822.54,48854944.52,21670289.99,18055646.87,49131158.98,18880518.3,23512473.43,22502258.29,17673734.12,52084761.97,21343865.72,18203042.59,50620775.64,46833003.5,18357441.17,46750074.62,18567675.14,49057896.85,45178578.13,22355302.31,20155959.49,48415718.26,49613075.85,24583253.4,45240524.85,19225884.75,24742960.99,47715558.41,50392277.24,49380706.04,20304656.44,49237401.72,47236424.68,19288350.04,51136690.8,48933763.84,44158206.6,22753663.58,46860158.97,45107250.54,19103654.01,17258475.38,20835332.34,19520927.9,50576575.4,48705932.82,19928474.32,53123544.45,17885780.99,46703354.81,22098577.28,21890001.32,21560122.42,44310790.4,19668027.13,49530856.65,18137530.98,21163329.77,48574140.59,47842260.87,21669597.56,18327695.67,47936593.25,48013021.13,20856824.31,18697446.57,19307022.91,44176582.21,24394654.72,19937044.05,43916635.44,19368691.57,21098390.1,47631898.17,16727787.05,46443861.46,18585613.18,20231747.71,17515586.95,53732326.16,45282745.18,44439203.22,47927052.83,18903047.75,22375982.71,18244301.01,18704311.61,45591207.82,18050279.11,46488231.39,44864038.84,46775606.84,46524985.34,53536148.63,49058807.39,22839950.59,23805303.09,50485633.22,44192578.76,22143381.96,50807542.16,18411552.23,20904366.22,48608585.95,45773097.83,19647347.73,21205151.72,52525451.46,46424153.73,18870090.81,24257619.89,50445876.3,49308824.58,20998276.19,24705078.55,17107629.54,46095980.19,23659653.95,49835720.31,48063080.88,19627561.24,51779626.01,44351827.35,22707307.19,48257503.26,48050035.37,17264539.13,22552416.91,53568956.93,19598909.57,17788684.34,24272683.87,21150052.61,20739528.86,17105707.76,48336705.58,45850393.73,49847688.01,22599777.39,47116353.76,45062947.17,18595390.78,52691349.2,44271663.71,45286333.43,47482757.14,22771605.37,48874961.81,17396883.94,53056791.58,17028935.83,47150354.3,48446647.33,19758945.02,48921474.54,47754217.07,46848759.88,49519819.75,43524616.41,52951472.78,21340095.12,45387572.46,22971657.99,19598619.3,47999317.23,48078084.5,46264655.11,48853580.45,47665563.1,19266872.05,49714433.44,49276399.19,22230155.51,47049700.67,20226750.22,43795747.35,21756963.13,20773784.27,50121839.29,43937080.35,23903697.96,47088935.48,47539438.2,46865524.37,19178563.64,18288197.13,47654280.11,52017574.13,21218091.55,44293848.75,20337158.48,24562729.43,45512781.59,47569109.26,19747619.1,49747984.72,18756682.01,44734917.72,49721632.3,21945331.8,45806049.56,51562801.66,44928861.1,50063221.99,18655111.62,18657823.41,50017995.45,47568290.08,21457437.09,50085187.96,23026722.41,49329613.41,50281747.01,49161331.58,19268416.1,51620208.61,48508829.61,44842236.19,43816206.21,24719583.17,20387594.2,20517476.17,18965887.92,48140413.85,46751657.98,23249777.73,24861708.45,49916944.3,22202918.53,47258428.32,50916134.31,23330166.57,21386662.92,22742465.01,23415656.51,22949008.8,20961870.24,21181111.43,48059425.12,46909464.95,48647900.96,50339990.39,48040201.01,47492974.14,21911883.43,47019045.34,45163413.89,20668683.78,44473717.53,23129135.02,49527752.58,45412456.74,47368894.75,20391161.54,25087614.17,21667595.23,21233396.62,49261141.05,19004648.81,21609120.75,22214046.14,53475803.15,20499354.5,48749082.07,21435685.08,18961272.72,18876330.78,22897905.19,23560033.85,47493730.87,16862284.39,22346994.43,47017927.07,21610713.37,17044707.44,19659865.6,44374667.15,20831870.83,49678809.67,17404132.75,45145399.11,46934445.42,52029663.5,21634837.57,21114095.71,48556885.67,20732467.68,18863816.83,44312072.9,49578268.88,22239802.15,16932473.26,19597747.95,45994795.27,23420560.34,18863698.36,50261792.96,22317276.47,49270032.38,23637671.09,21873449.43,22363721.6,20659951.89,20041881.87,18479402.68,45327809.91,49592313.43,48036901.67,21853089.33,44186047.92,48404810.39,19663592.1,49217763.7,19867938.46,17096152.1,18376481.64,20096204.84,23063090.21,16887521.75,46058689.1,52098273.32,20627745.38,48874001.17,17535654.55,23740037.47,44540666.05,17680523.07,24105848.96,19431580.89,46030228.5,18474991.07,21506703.61,18761290.13,20669459.82,50735749.75,45814217.98,19823295.53,43622549.25,53089957.51,22621898.27,22447272.55,21990708.29,20920399.6,22263782.95,48710951.59,53984673.04,17898863.55,47426109.85,21670750.16,46913751.15,19358100.17,45708424.01,22709744.28,47942490.98,23250358.8,22168671.3,45020441.2,47976886.42,16882340.42,49589410.16,22882656.73,19024271.58,20960781.78
